Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
RussRy00,No,23,0,0,0,3,,,,,,,,,,,,1,,
CoatSa00,No,22,0,0,0,18,,,,,,2,5,0,21,436,2,,,
MannSe00,No,23,0,0,0,1,6,7,31,0,0,,,,,,,,,
GolsSe00,No,22,0,0,0,,,,,,,,,,,,,,,
RayxSh00,No,22,0,0,0,24,,,,,,,,,,,,33,,8
MasoSh01,No,22,0,0,1,24,,,,,,,,,,,,,,
ThomSh01,No,21,0,0,1,22,,,,,,,,,,,,48,,1
RiddSh00,No,22,0,0,0,,,,,,,,,,,,,,,
DiggSt00,No,21,0,0,1,22,,,,,,6,23,0,119,1467,6,,,
AnthSt00,No,23,0,0,1,23,,,,,,,,,,,,74,1,1
NelsSt01,No,22,0,0,0,22,,,,,,,,,,,,39,,
ClemT.00,No,23,0,0,1,26,,,,,,,,,,,,,,
YeldT.00,No,21,0,0,2,22,,,,,,265,1041,3,70,496,2,,,
NixoTa00,No,24,0,0,0,1,,,,,,,,,,,,1,,
FabuTa00,No,24,0,0,0,4,,,,,,,,,,,,,,
PoolTe00,No,23,0,0,0,,,,,,,,,,,,,,,
ColeTe01,No,22,0,0,0,19,,,,,,146,626,6,21,344,1,,,
MitcTe01,No,23,0,0,0,,,,,,,,,,,,,,,
GurlTo01,No,21,0,1,2,23,,,,,,416,1697,14,47,390,0,,,
LippTo00,No,23,0,0,0,19,,,,,,,,,,,,35,2,
StewTo01,No,23,0,0,0,7,,,,,,,,,,,,1,,
WaynTr00,No,23,0,0,0,26,,,,,,,,,,,,54,2,
WalkTr00,No,23,0,0,0,8,,,,,,,,,,,,1,,
JackTr00,No,22,0,0,1,13,,,,,,,,,,,,,,
McBrTr00,No,22,0,0,0,7,,,,,,1,8,0,2,8,1,,,
BrowTr02,No,22,0,0,1,16,,,,,,,,,,,,,,
SiemTr00,No,22,0,0,0,10,175,291,2028,12,7,21,34,0,,,,,,
FlowTr00,No,22,0,0,0,11,,,,,,,,,,,,14,,4
MontTy01,No,22,0,0,0,15,,,,,,31,159,0,43,376,2,,,
SambTy00,No,23,0,0,0,9,,,,,,,,,,,,,,
SmitTy01,No,22,0,0,0,4,,,,,,,,,,,,,,
DaviTy01,No,23,0,0,0,25,,,,,,,,,,,,18,,1.5
KrofTy00,No,22,0,0,0,26,,,,,,,,,21,221,1,,,
LockTy00,No,23,1,1,0,26,,,,,,7,35,0,74,989,6,,,
ThomTy01,No,23,0,0,0,,,,,,,,,,,,,,,
BeasVi00,No,23,0,0,1,26,,,,,,,,,,,,44,1,13.5
MaylVi00,No,24,0,0,0,3,,,,,,,,,0,0,0,,,
CoopXa00,No,23,0,0,0,23,,,,,,,,,,,,20,,1.5
DickXz00,No,,0,0,0,,,,,,,,,,,,,,,
SmitZa00,No,23,0,0,0,25,,,,,,,,,,,,29,,6.5
McCaA.00,No,24,0,0,0,8,79,119,854,6,2,14,31,0,,,,,,
ColvAa00,No,22,0,0,1,28,,,,,,,,,,,,100,,5
DonaAa00,No,23,1,2,3,42,,,,,,,,,,,,105,,25
LyncAa00,No,21,0,0,1,33,,,,,,,,,,,,52,,13.5
MurrAa00,No,23,0,0,0,,,,,,,,,,,,,,,
DixoAh00,No,23,0,0,0,11,,,,,,,,,,,,2,,
BlueAl00,No,23,0,0,1,40,,,,,,398,1451,4,31,226,2,3,,
RobiAl02,No,21,0,1,3,36,,,,,,,,,179,2515,22,2,,
HalxAn00,No,22,0,0,2,40,,,,,,,,,,,,65,5,1
WillAn00,No,22,0,0,0,32,,,,,,305,978,8,19,137,0,1,,
JackAn02,No,22,0,0,0,13,,,,,,,,,,,,10,,1
BarrAn00,No,22,0,1,3,37,,,,,,,,,,,,138,1,9.5
HitcAn00,No,22,0,0,2,43,,,,,,,,,,,,128,1,2.5
ExumAn00,No,23,0,0,0,26,,,,,,,,,,,,14,,
LyncAr00,No,24,0,0,0,,,,,,,,,,,,,,,
SefeAu00,No,22,0,0,1,20,,,,,,,,,47,620,7,1,,
WillAv00,No,22,0,0,3,42,,,,,,,,,,,,167,2,8.5
BreeBa00,No,22,0,0,2,40,,,,,,,,,,,,155,5,
AlleBe00,No,22,0,0,0,42,,,,,,,,,,,,33,,0.5
GardBe00,No,24,0,0,0,,,,,,,,,,,,,,,
BenwBe00,No,23,0,0,0,27,,,,,,,,,,,,78,2,1
JackBe00,No,23,0,0,0,,,,,,,,,,,,,,,
TurnBi00,No,22,0,0,1,20,,,,,,,,,,,,,,
SankBi00,No,22,0,0,1,29,,,,,,199,762,3,32,272,1,1,,
BortBl00,No,22,0,0,3,40,885,1496,9959,64,48,145,942,3,,,,2,,
RobyBr00,No,22,0,0,0,42,,,,,,,,,,,,126,4,2
